Data,Produto/Categoria,Registros do Dia,Média Esperada,Setor,Prioridade
10/03/2025,Linha Branca (Washing Machines),50,20,Vendas,NORMAL
10/03/2025,Total faturado (USD),14590,15000,Financeiro,URGENTE
10/03/2025,Suporte (Tickets),30,30,Atendimento,URGENTE
10/03/2025,Tempo de Entrega (Horas),17,24,Logística,ALERTA
10/03/2025,Novos Leads B2B,12,15,Marketing,URGENTE
10/03/2025,Disponibilidade Site (%),144,99,TI,NORMAL
11/03/2025,Eletrônicos (Laptops),129,80,Vendas,NORMAL
11/03/2025,Acessórios (Cabos/Baterias),275,250,Logística,NORMAL
11/03/2025,Linha Branca (Washing Machines),17,20,Vendas,CRÍTICA
11/03/2025,Total faturado (USD),13553,15000,Financeiro,ALERTA
11/03/2025,Suporte (Tickets),26,30,Atendimento,ALERTA
11/03/2025,Tempo de Entrega (Horas),20,24,Logística,URGENTE
11/03/2025,Novos Leads B2B,29,15,Marketing,NORMAL
11/03/2025,Disponibilidade Site (%),85,99,TI,CRÍTICA
12/03/2025,Eletrônicos (Laptops),73,80,Vendas,CRÍTICA
12/03/2025,Acessórios (Cabos/Baterias),272,250,Logística,NORMAL
12/03/2025,Linha Branca (Washing Machines),17,20,Vendas,URGENTE
12/03/2025,Total faturado (USD),15041,15000,Financeiro,NORMAL
12/03/2025,Suporte (Tickets),24,30,Atendimento,URGENTE
12/03/2025,Tempo de Entrega (Horas),49,24,Logística,NORMAL
12/03/2025,Novos Leads B2B,12,15,Marketing,ALERTA
12/03/2025,Disponibilidade Site (%),90,99,TI,CRÍTICA
13/03/2025,Eletrônicos (Laptops),69,80,Vendas,URGENTE
13/03/2025,Acessórios (Cabos/Baterias),267,250,Logística,NORMAL
13/03/2025,Linha Branca (Washing Machines),17,20,Vendas,URGENTE
13/03/2025,Total faturado (USD),14229,15000,Financeiro,ALERTA
13/03/2025,Suporte (Tickets),28,30,Atendimento,ALERTA
13/03/2025,Tempo de Entrega (Horas),25,24,Logística,NORMAL
13/03/2025,Novos Leads B2B,15,15,Marketing,CRÍTICA
13/03/2025,Disponibilidade Site (%),98,99,TI,URGENTE
14/03/2025,Eletrônicos (Laptops),62,80,Vendas,CRÍTICA
14/03/2025,Acessórios (Cabos/Baterias),222,250,Logística,URGENTE
14/03/2025,Linha Branca (Washing Machines),15,20,Vendas,ALERTA
14/03/2025,Total faturado (USD),11977,15000,Financeiro,URGENTE
14/03/2025,Suporte (Tickets),21,30,Atendimento,URGENTE
14/03/2025,Tempo de Entrega (Horas),24,24,Logística,URGENTE
14/03/2025,Novos Leads B2B,13,15,Marketing,URGENTE
14/03/2025,Disponibilidade Site (%),125,99,TI,NORMAL
15/03/2025,Eletrônicos (Laptops),71,80,Vendas,URGENTE
15/03/2025,Acessórios (Cabos/Baterias),292,250,Logística,NORMAL
15/03/2025,Linha Branca (Washing Machines),20,20,Vendas,URGENTE
15/03/2025,Total faturado (USD),11421,15000,Financeiro,ALERTA
15/03/2025,Suporte (Tickets),21,30,Atendimento,URGENTE
15/03/2025,Tempo de Entrega (Horas),25,24,Logística,NORMAL
15/03/2025,Novos Leads B2B,12,15,Marketing,URGENTE
15/03/2025,Disponibilidade Site (%),106,99,TI,NORMAL
16/03/2025,Eletrônicos (Laptops),119,80,Vendas,NORMAL
16/03/2025,Acessórios (Cabos/Baterias),177,250,Logística,URGENTE
16/03/2025,Linha Branca (Washing Machines),18,20,Vendas,URGENTE
16/03/2025,Total faturado (USD),13967,15000,Financeiro,URGENTE
16/03/2025,Suporte (Tickets),28,30,Atendimento,ALERTA
16/03/2025,Tempo de Entrega (Horas),17,24,Logística,URGENTE
16/03/2025,Novos Leads B2B,12,15,Marketing,URGENTE
16/03/2025,Disponibilidade Site (%),88,99,TI,URGENTE
17/03/2025,Eletrônicos (Laptops),83,80,Vendas,NORMAL
17/03/2025,Acessórios (Cabos/Baterias),275,250,Logística,NORMAL
17/03/2025,Linha Branca (Washing Machines),15,20,Vendas,URGENTE
17/03/2025,Total faturado (USD),10614,15000,Financeiro,CRÍTICA
17/03/2025,Suporte (Tickets),27,30,Atendimento,ALERTA
17/03/2025,Tempo de Entrega (Horas),53,24,Logística,NORMAL
17/03/2025,Novos Leads B2B,12,15,Marketing,URGENTE
17/03/2025,Disponibilidade Site (%),89,99,TI,URGENTE
18/03/2025,Eletrônicos (Laptops),69,80,Vendas,ALERTA
18/03/2025,Acessórios (Cabos/Baterias),274,250,Logística,NORMAL
18/03/2025,Linha Branca (Washing Machines),18,20,Vendas,ALERTA
18/03/2025,Total faturado (USD),11988,15000,Financeiro,URGENTE
18/03/2025,Suporte (Tickets),24,30,Atendimento,URGENTE
18/03/2025,Tempo de Entrega (Horas),23,24,Logística,ALERTA
18/03/2025,Novos Leads B2B,56,15,Marketing,NORMAL
18/03/2025,Disponibilidade Site (%),91,99,TI,URGENTE
19/03/2025,Eletrônicos (Laptops),60,80,Vendas,CRÍTICA
19/03/2025,Acessórios (Cabos/Baterias),259,250,Logística,NORMAL
19/03/2025,Linha Branca (Washing Machines),17,20,Vendas,URGENTE
19/03/2025,Total faturado (USD),13503,15000,Financeiro,URGENTE
19/03/2025,Suporte (Tickets),29,30,Atendimento,CRÍTICA
19/03/2025,Tempo de Entrega (Horas),23,24,Logística,ALERTA
19/03/2025,Novos Leads B2B,32,15,Marketing,NORMAL
19/03/2025,Disponibilidade Site (%),78,99,TI,URGENTE
20/03/2025,Eletrônicos (Laptops),60,80,Vendas,ALERTA
20/03/2025,Acessórios (Cabos/Baterias),288,250,Logística,NORMAL
20/03/2025,Linha Branca (Washing Machines),18,20,Vendas,URGENTE
20/03/2025,Total faturado (USD),14920,15000,Financeiro,ALERTA
20/03/2025,Suporte (Tickets),42,30,Atendimento,NORMAL
20/03/2025,Tempo de Entrega (Horas),18,24,Logística,ALERTA
20/03/2025,Novos Leads B2B,14,15,Marketing,CRÍTICA
20/03/2025,Disponibilidade Site (%),99,99,TI,ALERTA
21/03/2025,Eletrônicos (Laptops),65,80,Vendas,URGENTE
21/03/2025,Acessórios (Cabos/Baterias),180,250,Logística,CRÍTICA
21/03/2025,Linha Branca (Washing Machines),16,20,Vendas,URGENTE
21/03/2025,Total faturado (USD),12156,15000,Financeiro,CRÍTICA
21/03/2025,Suporte (Tickets),30,30,Atendimento,CRÍTICA
21/03/2025,Tempo de Entrega (Horas),43,24,Logística,NORMAL
21/03/2025,Novos Leads B2B,15,15,Marketing,CRÍTICA
21/03/2025,Disponibilidade Site (%),83,99,TI,URGENTE
22/03/2025,Eletrônicos (Laptops),123,80,Vendas,NORMAL
22/03/2025,Acessórios (Cabos/Baterias),250,250,Logística,URGENTE
22/03/2025,Linha Branca (Washing Machines),19,20,Vendas,URGENTE
22/03/2025,Total faturado (USD),13982,15000,Financeiro,ALERTA
22/03/2025,Suporte (Tickets),80,30,Atendimento,NORMAL
22/03/2025,Tempo de Entrega (Horas),68,24,Logística,NORMAL
22/03/2025,Novos Leads B2B,13,15,Marketing,CRÍTICA
22/03/2025,Disponibilidade Site (%),101,99,TI,NORMAL
23/03/2025,Eletrônicos (Laptops),61,80,Vendas,CRÍTICA
23/03/2025,Acessórios (Cabos/Baterias),190,250,Logística,ALERTA
23/03/2025,Linha Branca (Washing Machines),16,20,Vendas,ALERTA
23/03/2025,Total faturado (USD),15028,15000,Financeiro,NORMAL
23/03/2025,Suporte (Tickets),23,30,Atendimento,URGENTE
23/03/2025,Tempo de Entrega (Horas),23,24,Logística,ALERTA
23/03/2025,Novos Leads B2B,11,15,Marketing,ALERTA
23/03/2025,Disponibilidade Site (%),87,99,TI,URGENTE
24/03/2025,Eletrônicos (Laptops),56,80,Vendas,ALERTA
24/03/2025,Acessórios (Cabos/Baterias),233,250,Logística,URGENTE
24/03/2025,Linha Branca (Washing Machines),57,20,Vendas,NORMAL
24/03/2025,Total faturado (USD),15037,15000,Financeiro,NORMAL
24/03/2025,Suporte (Tickets),21,30,Atendimento,ALERTA
24/03/2025,Tempo de Entrega (Horas),22,24,Logística,CRÍTICA
24/03/2025,Novos Leads B2B,12,15,Marketing,ALERTA
24/03/2025,Disponibilidade Site (%),71,99,TI,ALERTA
25/03/2025,Eletrônicos (Laptops),88,80,Vendas,NORMAL
25/03/2025,Acessórios (Cabos/Baterias),282,250,Logística,NORMAL
25/03/2025,Linha Branca (Washing Machines),17,20,Vendas,CRÍTICA
25/03/2025,Total faturado (USD),11477,15000,Financeiro,CRÍTICA
25/03/2025,Suporte (Tickets),68,30,Atendimento,NORMAL
25/03/2025,Tempo de Entrega (Horas),17,24,Logística,URGENTE
25/03/2025,Novos Leads B2B,14,15,Marketing,ALERTA
25/03/2025,Disponibilidade Site (%),79,99,TI,URGENTE
26/03/2025,Eletrônicos (Laptops),58,80,Vendas,CRÍTICA
26/03/2025,Acessórios (Cabos/Baterias),271,250,Logística,NORMAL
26/03/2025,Linha Branca (Washing Machines),16,20,Vendas,CRÍTICA
26/03/2025,Total faturado (USD),11491,15000,Financeiro,ALERTA
26/03/2025,Suporte (Tickets),23,30,Atendimento,URGENTE
26/03/2025,Tempo de Entrega (Horas),24,24,Logística,CRÍTICA
26/03/2025,Novos Leads B2B,52,15,Marketing,NORMAL
26/03/2025,Disponibilidade Site (%),87,99,TI,URGENTE
27/03/2025,Eletrônicos (Laptops),68,80,Vendas,ALERTA
27/03/2025,Acessórios (Cabos/Baterias),295,250,Logística,NORMAL
27/03/2025,Linha Branca (Washing Machines),19,20,Vendas,CRÍTICA
